Frequency Hz,Permittivity,Elec. Cond. (S/m)
100000000000,8.298812191,63.36517103
119800000000,7.406931326,65.90961589
139600000000,6.802285383,67.90505291
159400000000,6.369479111,69.53697814
179200000000,6.046492607,70.91342618
199000000000,5.797404743,72.10186856
218800000000,5.600141067,73.14683624
238600000000,5.440469656,74.07905853
258400000000,5.308844219,74.92053051
278200000000,5.198645163,75.68748275
298000000000,5.105150831,76.39220429
317800000000,5.024910492,77.04420654
337600000000,4.955348415,77.65099195
357400000000,4.894506053,78.21857676
377200000000,4.840869574,78.75185573
397000000000,4.793251717,79.25486241
416800000000,4.750709106,79.73095869
436600000000,4.712483296,80.18297519
456400000000,4.677958,80.61331718
476200000000,4.646627576,81.02404534
496000000000,4.618073484,81.41693846
515800000000,4.591946467,81.79354249
535600000000,4.567952901,82.15520941
555400000000,4.545844233,82.50312837
575200000000,4.525408723,82.83835082
595000000000,4.506464919,83.161811
614800000000,4.48885647,83.47434274
634600000000,4.472447962,83.77669339
654400000000,4.457121551,84.06953537
674200000000,4.442774222,84.35347592
694000000000,4.429315539,84.62906527
713800000000,4.4166658,84.89680358
733600000000,4.404754496,85.15714684
753400000000,4.39351903,85.41051198
773200000000,4.382903646,85.6572812
793000000000,4.372858523,85.89780572
812800000000,4.36333901,86.13240908
832600000000,4.354304977,86.36139001
852400000000,4.345720257,86.58502486
872200000000,4.337552175,86.80356982
892000000000,4.329771133,87.01726287
911800000000,4.322350262,87.22632542
931600000000,4.315265116,87.43096386
951400000000,4.308493403,87.63137091
971200000000,4.302014755,87.82772675
991000000000,4.295810528,88.02020015
1010800000000,4.28986362,88.2089494
1030600000000,4.284158318,88.39412313
1050400000000,4.278680161,88.57586116
1070200000000,4.273415815,88.75429511
1090000000000,4.268352968,88.92954908
1109800000000,4.263480235,89.10174021
1129600000000,4.258787069,89.27097916
1149400000000,4.25426369,89.43737064
1169200000000,4.249901013,89.60101379
1189000000000,4.245690589,89.76200257
1208800000000,4.241624552,89.92042614
1228600000000,4.237695567,90.07636918
1248400000000,4.233896788,90.22991216
1268200000000,4.230221815,90.38113166
1288000000000,4.226664662,90.53010058
1307800000000,4.223219724,90.67688839
1327600000000,4.219881744,90.82156135
1347400000000,4.216645789,90.96418268
1367200000000,4.213507223,91.10481279
1387000000000,4.21046169,91.24350939
1406800000000,4.207505088,91.38032771
1426600000000,4.204633553,91.51532057
1446400000000,4.201843441,91.64853859
1466200000000,4.199131315,91.78003026
1486000000000,4.196493927,91.9098421
1505800000000,4.19392821,92.03801871
1525600000000,4.191431259,92.16460295
1545400000000,4.189000327,92.28963596
1565200000000,4.18663281,92.41315729
1585000000000,4.184326239,92.53520496
1604800000000,4.182078273,92.65581558
1624600000000,4.17988669,92.77502437
1644400000000,4.177749376,92.89286525
1664200000000,4.175664325,93.0093709
1684000000000,4.173629628,93.12457283
1703800000000,4.171643466,93.23850145
1723600000000,4.169704108,93.35118605
1743400000000,4.167809907,93.46265496
1763200000000,4.165959288,93.5729355
1783000000000,4.164150751,93.68205409
1802800000000,4.162382865,93.79003623
1822600000000,4.160654262,93.89690662
1842400000000,4.158963635,94.00268911
1862200000000,4.157309735,94.10740681
1882000000000,4.155691366,94.21108206
1901800000000,4.154107384,94.31373652
1921600000000,4.152556696,94.41539116
1941400000000,4.151038252,94.51606629
1961200000000,4.149551048,94.61578161
1981000000000,4.148094118,94.71455621
2000800000000,4.14666654,94.81240863
2020600000000,4.145267426,94.90935683
2040400000000,4.143895925,95.00541826
2060200000000,4.142551218,95.10060986
2080000000000,4.141232522,95.19494807
2099800000000,4.139939079,95.28844886
