Frequency Hz,Permittivity,Elec. Cond. (S/m)
100000000000,5.978950051,34.89225668
119800000000,5.576687457,36.00120919
139600000000,5.304597986,36.88908195
159400000000,5.109696257,37.62846774
179200000000,4.963916714,38.26185302
199000000000,4.851142285,38.81601908
218800000000,4.761517047,39.30884066
238600000000,4.688703153,39.75280023
258400000000,4.628454005,40.15693959
278200000000,4.577825116,40.52800884
298000000000,4.534714886,40.87117592
317800000000,4.497585671,41.19048299
337600000000,4.465288037,41.48915017
357400000000,4.436946482,41.76978377
377200000000,4.411883029,42.03452278
397000000000,4.389564904,42.28514421
416800000000,4.369567906,42.52314046
436600000000,4.351550274,42.74977705
456400000000,4.335233717,42.96613648
476200000000,4.320389425,43.17315196
496000000000,4.306827601,43.37163376
515800000000,4.294389535,43.56228992
535600000000,4.282941522,43.74574285
555400000000,4.272370149,43.92254263
575200000000,4.262578608,44.09317787
595000000000,4.253483774,44.25808456
614800000000,4.245013883,44.41765343
634600000000,4.237106663,44.57223598
654400000000,4.229707821,44.72214967
674200000000,4.22276981,44.86768213
694000000000,4.216250815,45.00909484
713800000000,4.21011392,45.14662621
733600000000,4.20432641,45.28049425
753400000000,4.198859195,45.41089884
773200000000,4.193686321,45.53802368
793000000000,4.18878456,45.66203803
812800000000,4.184133061,45.78309819
832600000000,4.179713057,45.90134877
852400000000,4.17550761,46.01692387
872200000000,4.171501393,46.12994806
892000000000,4.167680505,46.24053728
911800000000,4.164032307,46.34879963
931600000000,4.160545286,46.45483603
951400000000,4.157208927,46.55874089
971200000000,4.154013615,46.66060265
991000000000,4.150950532,46.76050427
1010800000000,4.148011582,46.85852366
1030600000000,4.145189319,46.95473413
1050400000000,4.142476878,47.0492047
1070200000000,4.139867926,47.14200046
1090000000000,4.137356606,47.23318286
1109800000000,4.134937496,47.32280997
1129600000000,4.13260557,47.41093672
1149400000000,4.130356159,47.49761516
1169200000000,4.128184925,47.58289462
1189000000000,4.126087827,47.6668219
1208800000000,4.124061098,47.74944147
1228600000000,4.122101226,47.8307956
1248400000000,4.120204925,47.91092452
1268200000000,4.118369124,47.98986651
1288000000000,4.116590946,48.06765809
1307800000000,4.114867696,48.14433408
1327600000000,4.113196842,48.21992771
1347400000000,4.111576008,48.29447073
1367200000000,4.110002958,48.36799349
1387000000000,4.10847559,48.44052502
1406800000000,4.106991922,48.51209311
1426600000000,4.105550086,48.58272438
1446400000000,4.104148319,48.65244433
1466200000000,4.102784957,48.72127744
1486000000000,4.101458425,48.78924718
1505800000000,4.100167237,48.8563761
1525600000000,4.098909982,48.92268585
1545400000000,4.097685326,48.98819725
1565200000000,4.096492003,49.05293032
1585000000000,4.095328814,49.11690432
1604800000000,4.094194617,49.1801378
1624600000000,4.093088331,49.24264863
1644400000000,4.092008926,49.30445401
1664200000000,4.090955422,49.36557054
1684000000000,4.089926889,49.42601424
1703800000000,4.088922438,49.48580054
1723600000000,4.087941224,49.54494435
1743400000000,4.086982439,49.60346009
1763200000000,4.086045315,49.66136167
1783000000000,4.085129117,49.71866252
1802800000000,4.084233144,49.77537567
1822600000000,4.083356724,49.83151369
1842400000000,4.082499218,49.88708876
1862200000000,4.081660012,49.94211266
1882000000000,4.080838519,49.9965968
1901800000000,4.080034177,50.05055224
1921600000000,4.079246449,50.10398969
1941400000000,4.078474818,50.15691955
1961200000000,4.07771879,50.20935187
1981000000000,4.07697789,50.26129644
2000800000000,4.076251663,50.31276274
2020600000000,4.075539672,50.36375996
2040400000000,4.074841497,50.41429703
2060200000000,4.074156734,50.46438265
2080000000000,4.073484997,50.51402523
2099800000000,4.072825911,50.56323297
2119600000000,4.072179119,50.61201383
2139400000000,4.071544275,50.66037556
2159200000000,4.070921046,50.70832569
2179000000000,4.070309113,50.75587153
2198800000000,4.069708167,50.80302023
2218600000000,4.069117911,50.84977871
2238400000000,4.068538059,50.89615374
2258200000000,4.067968334,50.94215189
2278000000000,4.06740847,50.98777958
2297800000000,4.066858209,51.03304304
2317600000000,4.066317303,51.07794835
2337400000000,4.065785513,51.12250146
2357200000000,4.065262606,51.16670813
2377000000000,4.06474836,51.21057401
2396800000000,4.064242557,51.2541046
2416600000000,4.063744989,51.29730526
2436400000000,4.063255453,51.34018123
2456200000000,4.062773754,51.38273762
2476000000000,4.062299703,51.42497941
2495800000000,4.061833115,51.46691147
2515600000000,4.061373815,51.50853856
2535400000000,4.06092163,51.54986533
2555200000000,4.060476394,51.59089631
2575000000000,4.060037946,51.63163594
2594800000000,4.059606129,51.67208854
2614600000000,4.059180792,51.71225837
2634400000000,4.058761788,51.75214955
2654200000000,4.058348975,51.79176614
2674000000000,4.057942215,51.83111209
2693800000000,4.057541374,51.87019129
2713600000000,4.057146321,51.90900751
2733400000000,4.05675693,51.94756448
2753200000000,4.05637308,51.98586581
2773000000000,4.055994649,52.02391507
2792800000000,4.055621524,52.06171572
2812600000000,4.055253592,52.09927117
2832400000000,4.054890743,52.13658476
2852200000000,4.054532871,52.17365975
2872000000000,4.054179873,52.21049934
2891800000000,4.053831649,52.24710667
2911600000000,4.053488102,52.28348479
2931400000000,4.053149135,52.31963673
2951200000000,4.052814658,52.35556543
2971000000000,4.052484579,52.39127378
2990800000000,4.052158812,52.42676462
3010600000000,4.051837271,52.46204072
3030400000000,4.051519874,52.49710481
3050200000000,4.05120654,52.53195957
3070000000000,4.05089719,52.5666076
3089800000000,4.050591747,52.60105149
3109600000000,4.050290137,52.63529376
3129400000000,4.049992287,52.66933688
3149200000000,4.049698126,52.70318328
3169000000000,4.049407585,52.73683535
3188800000000,4.049120597,52.77029543
3208600000000,4.048837095,52.80356582
3228400000000,4.048557017,52.83664877
3248200000000,4.048280298,52.86954649
3268000000000,4.048006879,52.90226118
3287800000000,4.0477367,52.93479495
3307600000000,4.047469702,52.96714992
3327400000000,4.047205829,52.99932814
3347200000000,4.046945025,53.03133164
3367000000000,4.046687237,53.06316241
3386800000000,4.046432412,53.09482241
3406600000000,4.046180498,53.12631356
3426400000000,4.045931445,53.15763775
3446200000000,4.045685203,53.18879684
3466000000000,4.045441725,53.21979265
3485800000000,4.045200963,53.25062699
3505600000000,4.044962872,53.28130161
3525400000000,4.044727407,53.31181826
3545200000000,4.044494524,53.34217864
3565000000000,4.04426418,53.37238444
3584800000000,4.044036333,53.4024373
3604600000000,4.043810942,53.43233885
3624400000000,4.043587968,53.46209069
3644200000000,4.04336737,53.4916944
3664000000000,4.043149111,53.52115152
3683800000000,4.042933152,53.55046357
3703600000000,4.042719458,53.57963207
3723400000000,4.042507991,53.60865848
