Frequency Hz,Permittivity,Elec. Cond. (S/m)
100000000000,8.236588747,59.90634651
119800000000,7.367346288,62.44319412
139600000000,6.776280405,64.4361005
159400000000,6.352222634,66.06816186
179200000000,6.035176377,67.44631307
199000000000,5.790286671,68.63745496
218800000000,5.596084084,69.68579206
238600000000,5.438700794,70.62185202
258400000000,5.308820297,71.46749771
278200000000,5.199973825,72.23886891
298000000000,5.107542031,72.94818992
317800000000,5.028145547,73.60492469
337600000000,4.95925963,74.21654007
357400000000,4.898962929,74.78902507
377200000000,4.845769247,75.32725335
397000000000,4.798512184,75.83524191
416800000000,4.756264342,76.31633948
436600000000,4.718279668,76.77336625
456400000000,4.683951597,77.20871905
476200000000,4.652782195,77.62445177
496000000000,4.624359088,78.02233773
515800000000,4.598337994,78.40391841
535600000000,4.574429337,78.77054218
555400000000,4.55238788,79.12339528
575200000000,4.532004614,79.46352679
595000000000,4.513100354,79.79186905
614800000000,4.495520639,80.10925437
634600000000,4.479131639,80.41642891
654400000000,4.463816845,80.71406414
674200000000,4.449474368,81.00276661
694000000000,4.436014733,81.283086
713800000000,4.423359054,81.5555221
733600000000,4.411437521,81.82053067
753400000000,4.400188136,82.07852849
773200000000,4.389555659,82.32989771
793000000000,4.379490716,82.57498959
812800000000,4.36994904,82.81412779
832600000000,4.360890836,83.04761117
852400000000,4.352280227,83.27571627
872200000000,4.34408479,83.49869955
892000000000,4.33627515,83.71679922
911800000000,4.32882463,83.93023701
931600000000,4.321708952,84.13921962
951400000000,4.314905973,84.34394008
971200000000,4.308395455,84.54457895
991000000000,4.302158867,84.74130534
1010800000000,4.296179207,84.93427789
1030600000000,4.290440852,85.12364563
1050400000000,4.284929416,85.30954873
1070200000000,4.279631635,85.4921192
1090000000000,4.274535256,85.67148151
1109800000000,4.269628948,85.84775319
1129600000000,4.264902209,86.02104528
1149400000000,4.260345301,86.19146285
1169200000000,4.255949174,86.35910542
1189000000000,4.251705413,86.52406734
1208800000000,4.247606177,86.68643812
1228600000000,4.243644155,86.84630281
1248400000000,4.239812523,87.00374224
1268200000000,4.2361049,87.15883334
1288000000000,4.232515317,87.31164936
1307800000000,4.229038179,87.46226013
1327600000000,4.225668244,87.61073222
1347400000000,4.222400588,87.75712922
1367200000000,4.219230585,87.90151185
1387000000000,4.216153884,88.04393815
1406800000000,4.213166391,88.18446366
1426600000000,4.210264245,88.32314152
1446400000000,4.207443809,88.46002267
1466200000000,4.204701646,88.59515589
1486000000000,4.202034513,88.72858799
1505800000000,4.199439343,88.86036388
1525600000000,4.196913232,88.99052669
1545400000000,4.194453434,89.11911785
1565200000000,4.192057345,89.24617719
1585000000000,4.189722497,89.371743
1604800000000,4.187446546,89.49585215
1624600000000,4.18522727,89.61854011
1644400000000,4.183062553,89.73984108
1664200000000,4.180950389,89.85978798
1684000000000,4.178888864,89.97841258
1703800000000,4.17687616,90.09574551
1723600000000,4.174910543,90.21181632
1743400000000,4.172990361,90.32665355
1763200000000,4.17111404,90.44028477
1783000000000,4.169280076,90.5527366
1802800000000,4.167487035,90.66403479
1822600000000,4.165733545,90.77420424
1842400000000,4.164018297,90.88326901
1862200000000,4.16234004,90.99125243
1882000000000,4.160697574,91.09817704
1901800000000,4.159089752,91.20406469
1921600000000,4.157515478,91.30893656
1941400000000,4.155973699,91.41281315
1961200000000,4.154463406,91.51571435
1981000000000,4.152983634,91.61765944
2000800000000,4.151533453,91.71866714
2020600000000,4.150111975,91.81875558
2040400000000,4.148718345,91.91794241
2060200000000,4.147351742,92.01624471
2080000000000,4.146011377,92.11367912
2099800000000,4.144696492,92.21026178
2119600000000,4.143406357,92.30600837
2139400000000,4.142140272,92.40093415
2159200000000,4.14089756,92.49505395
2179000000000,4.139677573,92.5883822
2198800000000,4.138479684,92.68093293
2218600000000,4.137303291,92.77271979
2238400000000,4.136147811,92.86375608
2258200000000,4.135012685,92.95405474
2278000000000,4.133897371,93.04362837
2297800000000,4.13280135,93.13248926
2317600000000,4.131724117,93.22064936
2337400000000,4.130665187,93.30812034
2357200000000,4.129624092,93.39491356
2377000000000,4.128600377,93.48104009
2396800000000,4.127593605,93.56651075
2416600000000,4.126603353,93.65133607
2436400000000,4.125629212,93.73552633
2456200000000,4.124670787,93.81909157
2476000000000,4.123727694,93.90204159
2495800000000,4.122799564,93.98438594
2515600000000,4.121886037,94.06613396
2535400000000,4.120986768,94.14729477
2555200000000,4.12010142,94.22787728
2575000000000,4.119229668,94.30789017
2594800000000,4.118371196,94.38734196
2614600000000,4.117525698,94.46624096
2634400000000,4.116692879,94.54459529
2654200000000,4.115872452,94.62241288
2674000000000,4.115064136,94.69970151
2693800000000,4.114267663,94.77646877
2713600000000,4.113482771,94.8527221
2733400000000,4.112709203,94.92846875
2753200000000,4.111946715,95.00371584
2773000000000,4.111195065,95.07847034
2792800000000,4.110454021,95.15273906
2812600000000,4.109723356,95.22652866
2832400000000,4.109002851,95.29984569
2852200000000,4.108292292,95.37269653
2872000000000,4.107591471,95.44508745
2891800000000,4.106900186,95.51702459
2911600000000,4.106218242,95.58851397
2931400000000,4.105545446,95.65956146
2951200000000,4.104881614,95.73017286
2971000000000,4.104226565,95.80035381
2990800000000,4.103580123,95.87010986
3010600000000,4.102942116,95.93944646
3030400000000,4.102312378,96.00836893
3050200000000,4.101690748,96.07688252
3070000000000,4.101077066,96.14499234
3089800000000,4.100471179,96.21270342
3109600000000,4.099872937,96.28002072
3129400000000,4.099282194,96.34694906
3149200000000,4.098698808,96.41349321
3169000000000,4.09812264,96.47965782
3188800000000,4.097553554,96.54544748
3208600000000,4.096991419,96.61086669
3228400000000,4.096436107,96.67591985
3248200000000,4.095887491,96.74061129
3268000000000,4.09534545,96.80494528
3287800000000,4.094809863,96.868926
3307600000000,4.094280615,96.93255754
3327400000000,4.093757593,96.99584394
3347200000000,4.093240684,97.05878916
3367000000000,4.09272978,97.1213971
3386800000000,4.092224777,97.18367157
3406600000000,4.09172557,97.24561635
3426400000000,4.091232059,97.30723511
3446200000000,4.090744146,97.3685315
3466000000000,4.090261733,97.42950908
3485800000000,4.089784728,97.49017136
3505600000000,4.089313037,97.5505218
3525400000000,4.088846572,97.61056379
3545200000000,4.088385245,97.67030066
3565000000000,4.087928969,97.7297357
3584800000000,4.087477661,97.78887214
3604600000000,4.087031239,97.84771315
3624400000000,4.086589622,97.90626185
3644200000000,4.086152733,97.96452133
3664000000000,4.085720494,98.02249461
3683800000000,4.08529283,98.08018467
3703600000000,4.084869669,98.13759442
3723400000000,4.084450937,98.19472677
3743200000000,4.084036565,98.25158455
3763000000000,4.083626483,98.30817055
3782800000000,4.083220625,98.36448752
3802600000000,4.082818924,98.42053818
3822400000000,4.082421316,98.47632519
3842200000000,4.082027737,98.53185117
3862000000000,4.081638126,98.58711873
3881800000000,4.081252421,98.64213039
3901600000000,4.080870564,98.69688867
3921400000000,4.080492496,98.75139606
3941200000000,4.08011816,98.80565497
3961000000000,4.079747499,98.85966781
3980800000000,4.07938046,98.91343694
4000600000000,4.079016989,98.9669647
4020400000000,4.078657033,99.02025338
4040200000000,4.07830054,99.07330524
4060000000000,4.077947459,99.12612252
4079800000000,4.077597742,99.1787074
4099600000000,4.077251339,99.23106206
4119400000000,4.076908203,99.28318864
4139200000000,4.076568287,99.33508923
4159000000000,4.076231545,99.38676592
4178800000000,4.075897932,99.43822075
4198600000000,4.075567404,99.48945575
4218400000000,4.075239917,99.54047289
4238200000000,4.07491543,99.59127415
4258000000000,4.0745939,99.64186146
4277800000000,4.074275286,99.69223673
4297600000000,4.073959549,99.74240185
4317400000000,4.073646649,99.79235867
4337200000000,4.073336546,99.84210903
4357000000000,4.073029204,99.89165473
4376800000000,4.072724584,99.94099756
4396600000000,4.072422651,99.99013929
4416400000000,4.072123367,100.0390816
